True Positives: 0, False Positives: 5541, False Negatives: 590, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.01989988178142763,
True Positives: 0, False Positives: 5576, False Negatives: 599, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019916724133630447,
True Positives: 0, False Positives: 5612, False Negatives: 608, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019902595279682755,
True Positives: 0, False Positives: 5652, False Negatives: 618, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019911911454768193,
True Positives: 0, False Positives: 5679, False Negatives: 627, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019908839840580915,
True Positives: 0, False Positives: 5714, False Negatives: 637, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.01988970870336756,
True Positives: 0, False Positives: 5742, False Negatives: 646, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019877086761677754,
True Positives: 0, False Positives: 5778, False Negatives: 656, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.01988336862963778,
True Positives: 0, False Positives: 5808, False Negatives: 666, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019882446034601046,
True Positives: 0, False Positives: 5839, False Negatives: 675, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019883646662287733,
True Positives: 0, False Positives: 5884, False Negatives: 685, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.01987164450662672,
True Positives: 0, False Positives: 5921, False Negatives: 694, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019852232716190493,
True Positives: 0, False Positives: 5963, False Negatives: 704, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.01984641708669828,
True Positives: 0, False Positives: 6008, False Negatives: 713, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019813202237075216,
True Positives: 0, False Positives: 6053, False Negatives: 723, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.01977109351871727,
True Positives: 0, False Positives: 6097, False Negatives: 732, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.01973518559567519,
True Positives: 0, False Positives: 6146, False Negatives: 742, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.01972264052295637,
True Positives: 0, False Positives: 6190, False Negatives: 751, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019715723817620535,
True Positives: 0, False Positives: 6239, False Negatives: 761, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019691629353524323,
True Positives: 0, False Positives: 6280, False Negatives: 771, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019677205280199502,
True Positives: 0, False Positives: 6316, False Negatives: 780, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019673531744914586,
True Positives: 0, False Positives: 6352, False Negatives: 789, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019685941013984198,
True Positives: 0, False Positives: 6392, False Negatives: 799, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019690490046348905,
True Positives: 0, False Positives: 6428, False Negatives: 808, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019697925065636557,
True Positives: 0, False Positives: 6464, False Negatives: 817, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.01969198727911157,
True Positives: 0, False Positives: 6500, False Negatives: 826, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019704948685268026,
True Positives: 0, False Positives: 6544, False Negatives: 835, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019711583189261608,
True Positives: 0, False Positives: 6594, False Negatives: 845, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.01970517146512184,
True Positives: 0, False Positives: 6639, False Negatives: 854, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.0196978681077625,
True Positives: 0, False Positives: 6684, False Negatives: 863, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.01970481737894361,
True Positives: 0, False Positives: 6734, False Negatives: 873, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019707459111144215,
